"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Montenegro","MNE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5150","5140","5130","5140","5120","5130","5130","2231.3","2303.2","2314","2557","2563","2568","2570","2579.5","2555.6","",
"Mongolia","MNG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1406830","1406830","1406830","1406810","1406830","1406830","1406830","1406830","1406520","1406840","1406830","1406830","1406830","1406830","1406830","1255520","1259750","1259170","1247130","1245870","1245190","1245250","1249760","1246070","1245870","1245310","1248890","1252340","1255320","1256560","1261300","1235900","1191240","1184690","1184690","1184690","1288910","1291320","1302820","1304700","1301295","1301180","1142714","1141527","1139278","1147273","1146800","1145070","1142700.562","1142100.3","1141878","1140679.033","1140302.8","1136820","1136644.1","1135607.9","1134671.9","1134330","1133735","1126995.469","1126312","",
"Northern Mariana Islands","MNP","Agricultural land (sq. km)","AG.LND.AGRI.K2","","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","30","30","30","30","30","30","30","30","30","17","17","17","17","17","17","17","17","17","17","17","5.4","5.4","5.4","5.4","",
"Mozambique","MOZ","Agricultural land (sq. km)","AG.LND.AGRI.K2","","342290","342400","342500","342580","342680","342740","343000","344000","345040","345890","345890","346080","346600","346600","346800","346800","346800","346800","346800","346800","347300","348100","348100","349100","349600","350100","351100","351600","352100","352600","354790","356980","359170","361360","363550","365740","367930","370120","372310","374500","376715.86","378931.72","381147.58","383363.44","385579.3","387795.16","390011.02","392226.88","394442.74","396658.6","398722.88","400787.16","402851.44","404915.72","406980","410097.1","412314","414138.32","414138.32","414138.32","414138.32","",
"Mauritania","MRT","Agricultural land (sq. km)","AG.LND.AGRI.K2","","395220","395220","395230","395230","395230","395230","395230","395230","395330","395330","394930","394930","394800","394500","394460","394490","394500","394460","394490","394640","394840","395040","395240","395350","395550","395750","395950","396150","396350","396560","396660","396780","396900","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","397100","",
"Mauritius","MUS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","990","1000","1000","1000","1010","990","1050","1110","1110","1120","1120","1130","1130","1130","1130","1140","1140","1140","1140","1140","1140","1140","1140","1140","1140","1140","1140","1130","1120","1110","1100","1090","1070","1050","1040","1030","1020","1020","1000","1010","1020","1000","990","980","960","940","920","910","910","910","890","870","860","860","860","860","860","860","860","860","860","",
"Malawi","MWI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","32000","33000","33500","34000","36030","36530","36050","37070","37570","37070","38570","39070","39570","39600","39100","39120","39150","39680","39700","38300","39300","40300","39400","39900","40050","41050","41100","41150","41650","42180","43200","42700","42700","40700","42800","43800","44300","45800","46800","47300","48300","48300","49800","49800","51800","52850","52850","54350","54850","54850","54850","54850","55450","56510","57060","57620","58170","58730","59280","59840","60500","",
"Malaysia","MYS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","30847.4","31509.5","32758.7","33380.2","34973.4","35081.3","35716.8","37003","37559.4","38850.1","39587.8","40800.3","41608.9","42214.7","43541.4","44396.2","45707.4","47300","48391.1","49170","50447.9","51077.9","52054.4","52161.2","54157.5","57199","60734","63838","67217","67566","67945","68065","68914","69909","69660","69611","69587","69447","69471","69387","69470","70375","71162.4","71317","71344.1","70752","71072","71504","72200","73893","75306","78292","80593","80890","85699.7","85710","85710","85710","85710","85710","85710","",
"North America","NAC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5093524","5062713","5041603","5021664","4994644","4992514","4988734","4992263","4987433","4975613","4963233","4953503","4942773","4932623","4932893","4933172.9","4931163","4905733","4901983","4898233","4894533","4926113","4925333","4924553","4923773","4922981.92","4879733","4880993","4882253","4883513","4884815.464","4868943","4843453","4824683","4814004","4774984","4761004","4758274","4751504","4756864","4762525.608","4751554","4749687","4747823","4745960","4734832","4728660","4703346","4678033","4652720","4627364","4608523.538","4614693","4620862","4627040","4633149","4636782.538","4636998.538","4634984.538","4629280.538","4628016.538","",
"Namibia","NAM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","386420","386420","386420","386460","386460","386460","386490","386490","386490","386510","386530","386530","386530","386530","386530","386550","386550","386560","386560","386570","386570","386570","386620","386620","386620","386620","386620","386620","386620","386620","386620","386620","387000","387500","388200","388200","388200","388200","388200","388200","388200","388200","388200","388200","388200","388200","388080","388080","388080","388090","388090","388090","388090","388090","388100","388100","388110","388110","388110","388110","388120","",
"New Caledonia","NCL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2610","2610","2610","2620","2620","2620","2620","2630","2630","2630","2630","2640","2640","2640","2640","2650","2650","2650","2650","2650","2650","2720","2800","2900","2780","2670","2560","2460","2360","2320","2290","2300","2300","2310","2330","2350","2380","2400","2430","2450","2480","2500","2436","2366","2301","2246","2181","2106","2056","1986","1903","1840.34","1837.3","1837.3","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","1840.3","",
"Niger","NER","Agricultural land (sq. km)","AG.LND.AGRI.K2","","315000","315000","315000","315000","315000","315000","315000","321770","321760","312000","312300","311770","308140","297800","297800","297800","297800","297800","299580","307200","302800","303600","310100","307800","307800","312800","310120","313000","314050","330470","341050","350000","350000","350000","360000","360000","360000","360000","370000","370000","380000","380000","384120","384720","429650","429890","437820","437820","437820","439820","444820","447820","456820","456820","456950","463950","465950","465950","465950","465950","465950","",
"Nigeria","NGA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","541760","543230","544710","546180","547650","548130","545600","547080","549550","551520","553000","554470","555940","557420","558890","560360","559160","560240","563320","565410","566490","567580","568660","571730","574820","576900","577730","579640","581010","587140","594350","605960","609570","619180","640790","642400","644000","652110","653600","655080","656670","658080","659570","661030","662560","663970","665460","666960","668430","669940","671430","672930","674420","675930","677370","678910","680390","681920","683420","684930","686440","",
"Nicaragua","NIC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","34300","34300","34680","34880","35180","35800","35800","35800","35850","35850","36050","36100","36200","36300","36300","36300","37300","37350","37400","37450","38270","38290","38300","38830","38550","38570","38890","39400","39930","40250","40600","41200","41900","42200","45530","46540","48080","49130","50180","51410","51750","51990","52170","52250","52500","52080","51750","51320","50890","50500","50709","50730","50730","50730","50730","50730","50810","50840","50840","50910","50910","",
"Netherlands","NLD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","22969","22873","22769","22578","22473","22481","22417","22347","22182","22013","21364","21217","21080","20991","20871","20799","20658","20503","20368","20372","20305","20274","20088","20149","20198","20180","20143","20154","20059","20180","19695","19638","19669","19504","19647","19506","19633","19158","19726","19596","19227","19401","19137","19494","19377","19196","19144","19293","19174","18723","18584","18417","18476","18391","18460","18150","18190","18230","18168","18144.5","18120","",
"Norway","NOR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","10340","10310","10280","10190","10110","10050","10000","9940","9860","9540","9310","9100","9040","9010","8980","8960","8990","9000","9540","9360","9360","9420","9450","9540","9570","9690","9700","9760","9910","9760","10100","10030","10130","10300","11270","11320","10380","10470","10380","10420","10470","10460","10400","10400","10360","10350","10320","10248","10142.6","10059","9990","9928","9871.428","9867.6","9860.3","9836.61","9851.12","9862.8","9842.54","9859.62","9850","",
"Nepal","NPL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35530","35530","35630","35530","35530","35530","35670","35670","35670","37020","37020","38220","39530","39940","40090","40250","40400","40550","40700","40850","41030","41066","41102","41138","41164","41320","41346","41382","41408","41444","41470","41582","41694","41806","41918","42030","42142","42254","42366","42491","42590","42410","42270","42180","42020","41850","41660","41520","41400","41260","41266","41210","41210","41210","41210","41210","41210","41210","41210","41210","41210","",
"Nauru","NRU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","",
"New Zealand","NZL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","131630","132480","132880","133160","132520","132330","132470","132480","130910","130880","130860","134858","134816.5","134775","139435","143535","142762","144979","144430","145910","151875","146200","145915","144730","143930","143890","142740","141900","141005","139170","137585.833","136012.539","134435.345","132857.919","131280.648","129703.315","128126.617","126549.997","124973.449","123397.124","121820.813","120244.045","118580","118900","117120","113750","114870","113740","114900","114080","113710","112094","111060","111160","107120","106140","106440","104980","103450","101540","101750","",
"OECD members","OED","Agricultural land (sq. km)","AG.LND.AGRI.K2","","14059937.445","14059514.315","14072868.782","14077547.096","14097265.91","14101484.257","14119997.639","14357906.611","14333552.189","14123539.985","14166835.667","14165105","14134426.5","14144966","14137092","14151383.9","14056334","14083363","14051211.287","14065040.566","14062271.882","14024041.394","13963034.05","13995596.562","13998218.524","13815067.937","13809622.958","13815716.041","13777848.266","13745787.303","13716522.617","13717702.327","13620411.921","13685554.422","13586628.218","13567106.42","13513430.218","13534468.241","13421558.53","13422839.689","13383906.067","13266331.101","13166391.989","12728843.559","12876957.431","12834277.287","12694487.886","12545428.313","12444110.973","12304436.227","12442865.986","12323907.713","12177665.211","12184858.678","11914933.665","11850536.281","12115326.138","11973544.429","12010389.634","11926447.188","11984861.809","",
"Oman","OMN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","10350","10350","10350","10360","10360","10360","10380","10400","10400","10420","10420","10440","10450","10460","10470","10480","10490","10510","10510","10510","10510","10510","10550","10590","10610","10670","10700","10730","10770","10800","10800","10830","10720","10720","10710","10710","10700","10710","10710","11730","11736","12734","13730","14720","14650","14630","14650","14572","14544","14432","14368","14238","14195","14198","14340","14360","14519.2","14598.9","14614","14589.3","14662.2","",
"Other small states","OSS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","782389","782579","782709","782959","783199","783449","783869","783599","783159","781839","781299","781559","781811","780849","778322","779038","778830","779142","778694","778044","778418","778809","778919","779169","779357","779441","779933","779893","779453","779655","779455.42","779161.04","780563.66","779482.28","779686.35","780373.42","780509.49","780225.56","780521.63","781629.7","779967.64","778603.68","779478.62","779501.66","780944.9","780715.24","780599.48","781973.82","783209.06","782854.133","783564.16","783192.42","780114.745","781890.42","780381.86","781897.16","782353.06","782741.929","782663.044","782640.253","782592.609","",
"Pakistan","PAK","Agricultural land (sq. km)","AG.LND.AGRI.K2","","357300","358400","358800","363550","372350","374150","374700","371700","357000","358650","354850","355050","364000","357400","360350","357120","359130","364170","363370","374160","365040","385090","364090","375000","371180","355710","366710","353470","358600","352060","352700","353800","357500","357900","360260","361720","366690","367600","367560","366980","369720","368840","368420","360450","359650","361350","360130","353130","352770","352420","359360","360630","362800","362520","362020","367940","370030","369530","363230","367230","363030","",
"Panama","PAN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","16240","16340","16440","16480","16580","16680","16690","16790","16870","16840","17130","17430","17630","17850","18060","18270","18490","18500","18520","18550","18820","19140","19410","19660","19950","20200","20450","20700","21000","21240","21340","21500","21500","21350","21320","21320","21400","21490","21570","22300","22404","22378","22352","22326","22300","22244","22318","22292","22316","22663.9","22630","22530","22430","22330","22230","22130","22030","21930","21830","21741","21813.16","",
"Peru","PER","Agricultural land (sq. km)","AG.LND.AGRI.K2","","169560","170990","174300","176680","177500","176750","176840","177800","178190","179130","179220","185650","186152.227","186684.455","187216.682","187748.909","188481.136","189113.364","189745.591","190277.818","190810.045","191442.273","191974.5","192606.727","193238.955","193971.182","194603.409","195235.636","195867.864","224370.091","225002.318","225634.545","226266.773","223498","224968","226437","227906","229375","230844","232313","233782","235251","236720","238189","239928","241527","243126","244735","246334","247943","249642","251002.6","249673.7","248315.8","246958.04","244430","245181.08","246985.89","244782.9","249969.9","255156.89","",
"Philippines","PHL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","77130","77920","78720","81520","81320","81300","83050","82810","82530","83100","82790","84300","85960","88620","91920","96740","100900","101400","103940","106250","106700","107400","107800","108200","109100","109800","110200","110600","111000","111400","111570","111150","110650","110150","110150","111050","113350","112850","112350","112340","111840","111350","112400","114700","113550","115800","117900","120100","121000","121000","122600","124300","124690","124980","125270","125560","125900","126130","126360","126590","126830","",
"Palau","PLW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","",
"Papua New Guinea","PNG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5070","5170","5210","5500","5500","5470","5680","5870","6070","6240","6480","6580","6770","7040","7260","7450","7580","7830","7930","7970","8030","7950","7920","8070","8280","8560","8620","8870","9060","9280","9330","9420","9710","9780","9940","10160","10230","10640","10810","10880","10930","11030","11080","11230","11330","11510","12120","12450","12670","12670","12860","12860","12860","13050","13220","13280","14050","14050","14040","14180","14410","",
"Poland","POL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","203220","202620","201840","201300","199460","199470","198190","197770","195570","195430","195080","193710","193260","192570","192240","191990","191590","191110","190480","190070","189100","188910","188790","189390","189140","188790","188690","188200","188070","187930","187530","187430","187150","187070","186220","184740","184570","184430","184350","184130","177880","168990","161690","163270","159060","159570","154690","156010","156190","144490","147790","145290","144100","144240","143710","143740","144620","145120","145230","147330","144994.6","",
"Pre-demographic dividend","PRE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","7076222.8","7086182.8","7104742.8","7117222.8","7126572.8","7131692.8","7135572.8","7151532.8","7160832.8","7166472.8","7184382.8","7192442.8","7198724.8","7199235.8","7213945.8","7222922.8","7227662.8","7244142.8","7249442.8","7261042.8","7274452.8","7283962.8","7299292.8","7309802.8","7360522.8","7406412.8","7429472.8","7477662.8","7505602.8","7522782.7","7553383.1","7599132.102","7726242.784","7779143.582","7833892.472","7862294.018","7893271.11","7923108.216","7962762.65","7993880.862","8028664.14","8051398.843","8105263.809","8113864.28","8189794.379","8217107.464","8246775.779","8270201.398","8312413.001","8351226.746","8390214.511","8448354.167","8493815.023","8522240.388","8550635.532","8572282.952","8595891.933","8625195.558","8637544.22","8650540.42","8659330.42","",
"Puerto Rico","PRI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","6160","6010","6050","5850","6090","5810","5680","5660","5620","5520","5300","5150","4920","4940","4930","4930","4910","4950","4860","4750","4670","4670","4660","4640","4610","4630","4620","4620","4500","4350","4200","4100","3110","3090","3090","3090","2910","2725","2599","2472","2347","2220","2156","2090","2024","1958","1890","1907","1923","1939","1955","1968","1922","1876","1830","1784","1738","1689","1689","1689","1689","",
"Korea, Dem. People's Rep.","PRK","Agricultural land (sq. km)","AG.LND.AGRI.K2","","23800","23800","23800","23800","23800","23800","23800","23800","23800","23800","23800","23800","24300","24300","24300","24300","24300","24300","24300","25150","25150","25150","25150","25150","25150","25150","25150","25150","25150","25180","25300","25300","25500","26500","26500","25500","25500","25500","25500","25500","25500","25500","25500","25500","26000","26000","26000","26500","26700","26800","26300","26300","26300","26300","26300","26200","26000","26000","25950","25950","25950","",
"Portugal","PRT","Agricultural land (sq. km)","AG.LND.AGRI.K2","","38750","38810","38870","38930","38990","39050","39110","39130","39230","39290","39350","39410","39460","39510","39560","39610","39660","39710","39760","39790","39820","39850","39880","39910","39940","39970","40010","40050","40050","39630","39200","38780","39590","39520","39240","37300","35820","37225","38630","39563.8","38538.2","38777.2","38136.8","38696.1","38238.9","37576.6","36609.2","37258.6","36955.8","36541.7","36493.6","36644.1","37011","36638.8","36387.8","36190.3","36733.928","37367.665","39505.205","39542.556","39622.955","",
"Paraguay","PRY","Agricultural land (sq. km)","AG.LND.AGRI.K2","","104110","105040","106040","107180","108230","109300","110130","110910","111730","112550","113380","114200","115010","116990","119020","121040","122960","124990","126910","128930","130970","132150","133340","134530","135720","137010","138200","139390","140580","141395.7","142201.4","143701.4","143701.4","145201.4","146701.4","146701.4","146701.4","149211.4","150221.4","150951.4","151851.4","152931.4","153651.4","154551.4","155451.4","156351.4","157251.4","158221.4","159231.4","160451.4","161921.4","164301.4","165541.4","167331.4","169381.4","167341.4","167231.4","168071.4","168091.4","168091.4","168091.4","",
"West Bank and Gaza","PSE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4790","4790","4790","4790","4790","4800","4820","4820","4820","4840","4840","4840","4850","4860","4860","4890","4910","4930","4930","4940","4980","5000","5020","5030","5020","5020","5020","5020","5030","5010","4990","4970","4970","4668.296","4749.327","4699.805","4685.332","4700.975","4475.998","4682.131","4649.089","4687.831","4654.969","4658.978","4672.159","4664.403","4673.289","4691.564","4297.5","3749","3872.364","4006.427","4144.291","4204.555","4304.018","4344.182","4297.545","4287.909","4253.273","4078.636","3912","",
"Pacific island small states","PSS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5501","5521","5581","5581","5672","5682","5612","5602","5642","5707","5712","5812","5862","5922","6042","6222","6362","6472","6577","6642","6802","6942","7068","7202","7372","7486","7629","7842","7784","7962","7927","7899","7841","7793","7805","7767","7699","7661","7631","7555","7524","7486","7468","7410","7432","7426","7382","7339","7297","7416","7504","7582","7635","7718","7817.2","7752.1","7707","7631.7","7567.1","7555.1","7555.1","",
"Post-demographic dividend","PST","Agricultural land (sq. km)","AG.LND.AGRI.K2","","12477707.445","12468227.315","12471019.782","12477711.096","12485147.91","12484657.257","12506231.639","12740297.611","12707272.189","12503646.985","12530115.667","12525151","12490816.5","12499158","12492577","12504563.9","12406766","12428130","12389229.287","12404655.566","12402380.882","12379649.394","12297719.05","12319592.562","12316757.524","12131818.937","12112382.958","12118381.041","12067141.266","12032847.303","11994180.437","11999062.327","11901830.921","11967340.422","11889273.218","11863950.42","11812255.818","11815155.441","11698387.33","11695250.089","11687868.067","11573851.101","11482326.989","11031376.559","11180594.031","11147684.787","11017631.886","10903400.573","10813732.283","10697737.707","10856652.626","10741058.313","10590344.761","10604915.188","10339992.645","10284170.011","10581015.328","10439964.679","10482565.154","10391616.478","10466856.911","",
"French Polynesia","PYF","Agricultural land (sq. km)","AG.LND.AGRI.K2","","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","450","450","450","450","450","450","450","445","445","455","455","455","455","455","455","465","475","475","485","485","",
"Qatar","QAT","Agricultural land (sq. km)","AG.LND.AGRI.K2","","510","510","510","510","510","510","510","510","510","510","510","510","510","520","520","520","520","520","530","550","560","570","580","590","590","600","610","610","600","610","610","640","650","650","650","660","660","660","660","660","663","657","662","652","646","653","660","667","674","681","688","695","702","710","710","710","720","740","740","740","740","",
"Romania","ROU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","146010","146880","147240","147420","147910","148350","148380","149720","149680","149300","149350","149430","149040","149290","149460","149550","149600","149650","149670","149640","149480","149630","149810","149920","150200","150380","150930","151090","147580","147690","147980","147900","147930","147980","147970","147820","147980","147470","147810","148570","147980","148180","148000","141300","141800","140390","136300","136340","136210","141560","139820","137330","139050","138300","138580","135210","133780","134140","138260","130490","130790","",
"Russian Federation","RUS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2216310","2187950","2177110","2164000","2161110","2179890","2172870","2167900","2171620","2168610","2166510","2162770","2159800","2156800","2154880","2154630","2154940","2154940","2154940","2154940","2154940","2154940","2154940","2154940","2154940","2154940","2154940","2154940","2154940","2154940","",
"Rwanda","RWA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","13150","13250","13350","13450","13550","13650","13750","13830","13970","14040","14480","15080","15050","15840","16120","16390","16650","16800","16970","17150","17600","17750","17900","18080","18190","18300","18420","18530","18540","18780","18750","18350","17550","15500","15500","16010","16510","16710","17170","18260","18970","18880","18860","18830","18810","18840","18780","18800","19060","19220","19430","19590","19800","20060","20070","20050","20050","19490","19040","19586","20044.6","",
"South Asia","SAS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2635540","2652270","2653550","2665180","2680390","2686810","2691460","2694460","2674330","2680420","2674620","2680480","2698852","2698113","2705503","2702350","2704250","2719770","2717900","2725780","2718110","2741406","2717452","2739428","2734224","2717680","2733156","2718482","2727848","2719904","2722070","2712782","2715144","2712726","2711988","2709530","2719322","2720704","2721886","2720531","2718560","2717760","2714950","2707940","2706330","2704400","2699390","2695143","2697840","2692459","2700321","2701290","2705530","2706030","2706142.4","2711956.1","2711105.34","2711578.64","2707019.197","2709441.59","2706638.48","",
"Saudi Arabia","SAU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","861700","861900","862120","862410","862620","862840","863040","863400","863750","864200","864670","865170","865700","866400","866840","867500","868040","868560","869090","869620","870130","870680","872700","924230","976250","1027800","1079800","1131300","1182900","1234810","1236720","1237460","1307850","1377850","1447850","1517850","1587850","1667850","1737850","1737850","1737910","1737930","1737980","1737090","1737170","1736740","1736750","1735720","1734350","1734060","1733880","1733450","1732950","1735753","1736370","1736270","1735961","1735955","1736164.35","1736373.7","1736370","",
"Sudan","SDN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1088400","1089400","1090400","1091420","1092420","1093400","1094500","1095470","1096470","1097450","1098430","1099410","1100480","1101050","1102050","1103000","1103980","1104360","1104350","1104500","1104800","1105400","1105900","1106450","1127000","1157500","1178050","1208450","1228600","1229100","1229650","1240150","1267330","1281150","1296440","1305390","1308320","1311020","1313520","1315750","1320930","1326140","1345300","1344970","1352200","1360530","1366150","1366980","1372658","1372462","1372462","1114659.6","1114533.6","1114449.6","1117498.8","1120548","1123597.2","1126646.4","1126646.4","1126648.4","1126648.4","",
"Senegal","SEN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","86470","86470","87470","87470","88470","88470","89470","91170","89030","88640","89460","89460","89960","90460","90460","90450","88440","88430","88420","88410","88400","88390","88380","88370","88360","88340","88320","88300","88270","88690","87090","87800","88180","89150","88150","89070","86280","83900","91120","90270","87990","87500","86320","86870","87760","84900","85030","92750","92780","92780","89650","89650","89680","89720","93280","92880","93230","93580","93950","94300","95110","",
"Singapore","SGP","Agricultural land (sq. km)","AG.LND.AGRI.K2","","140","140","130","130","130","130","130","120","120","120","100","110","110","90","80","80","80","80","80","80","70","60","60","60","50","40","30","30","20","20","12","12","12","12","12","12","12","12","12","12","12","12","8","8","7.6","7.5","8","7","7","7.4","7.3","7.3","6.7","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","",
"Solomon Islands","SLB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","550","550","550","550","550","550","550","550","550","550","550","550","550","550","550","550","560","570","590","590","590","620","620","640","640","660","650","670","680","680","690","710","710","720","730","730","730","740","760","760","770","790","830","840","910","950","960","990","1020","1080","1110","1130","1130","1145","1160","1170","1200","1200","1200","1200","1200","",
"Sierra Leone","SLE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","26120","26170","26240","26290","26340","26390","26440","26540","26590","26640","26690","26740","26790","26840","26890","26940","26990","27090","27190","27240","27290","27440","27490","27640","28140","28190","28240","28250","28250","28250","28250","28150","28110","28100","28100","28100","28090","28090","28040","28100","30015.2","32300.8","35666.7","37727.3","38120.2","40298.8","36237.2","37122.3","38009.7","39303.8","40176.3","38366.5","39486.5","39490","39490","39490","39490","39490","39490","39490","39490","",
"El Salvador","SLV","Agricultural land (sq. km)","AG.LND.AGRI.K2","","12520","12520","12519","12438","12347","12235","12134","12023","11952","11881","12260","12238","12257","12306","12355","12224","12263","12622","13070","13119","12668","12327","12236","12285","12433","12582","12531","12680","12629","12708","12837","13015","12964","12943","12902","12461","12410","12698","12957","12867","12777","12637","12547","12807","12186","12169","12413","12375","12337","12299","12260","12222","12184","12142","12230","12141","12052","11957","11957","11957","11957","",
"San Marino","SMR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","23","23","23","23","23","23","23","",
"Somalia","SOM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","439050","439100","439150","439200","439250","439300","439350","439400","439450","439500","439550","439600","439650","439700","439750","439800","439850","439900","439950","440000","440050","440100","440150","440200","440250","440300","440350","440390","440400","440420","440420","440430","440440","440500","440560","440610","440660","440670","440670","440670","440710","440900","441090","441570","441260","440760","440260","441260","441260","441260","440260","440260","441260","441260","441260","441260","441260","441260","441270","441280","441290","",
"Serbia","SRB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35370","35729","36036","35180","35216","35282","34626","34912","35064","34810","34560","34190","34640","34600","34820","34850","",
"Sub-Saharan Africa (excluding high income)","SSA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","9145806.6","9148006.6","9156486.6","9157106.6","9158906.6","9164036.6","9166376.6","9181916.6","9191536.6","9194726.6","9212756.6","9220266.6","9224046.6","9222266.6","9234166.6","9241666.6","9246346.6","9263466.6","9268336.6","9278466.6","9290356.6","9299906.6","9313516.6","9321986.6","9372576.6","9419986.6","9444046.6","9493576.6","9526086.6","9545736.5","9576188.52","9627839.142","9504731.444","9568503.862","9632664.372","9671137.538","9711413.2","9735277.083","9783876.534","9816716.063","9853149.038","9877402.818","9937168.871","9953778.379","10035483.125","10062672.927","10102570.429","10131175.725","10182308.964","10222807.459","10261673.688","10318958.091","10364663.109","10391971.296","10420903.037","10444979.734","10468324.932","10500961.334","10518122.323","10532013.18","10542610.78","",
"South Sudan","SSD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","284979.125","284626.25","284273.375","283920.5","283567.625","283214.75","282509","282509","282507","282527","",
